frame,timestamp_sec,total_count,car,truck
1,0.05,0,,
2,0.1,0,,
3,0.15,0,,
4,0.2,0,,
5,0.25,0,,
6,0.3,0,,
7,0.35,0,,
8,0.4,0,,
9,0.45,0,,
10,0.5,0,,
11,0.55,0,,
12,0.6,0,,
13,0.65,0,,
14,0.7,0,,
15,0.75,0,,
16,0.8,0,,
17,0.85,0,,
18,0.9,0,,
19,0.95,0,,
20,1.0,0,,
21,1.05,0,,
22,1.1,0,,
23,1.15,0,,
24,1.2,0,,
25,1.25,0,,
26,1.3,0,,
27,1.35,0,,
28,1.4,0,,
29,1.45,0,,
30,1.5,0,,
31,1.55,0,,
32,1.6,0,,
33,1.65,0,,
34,1.7,0,,
35,1.75,0,,
36,1.8,0,,
37,1.85,0,,
38,1.9,0,,
39,1.95,0,,
40,2.0,0,,
41,2.05,0,,
42,2.1,0,,
43,2.15,0,,
44,2.2,0,,
45,2.25,0,,
46,2.3,0,,
47,2.35,0,,
48,2.4,0,,
49,2.45,0,,
50,2.5,0,,
51,2.55,0,,
52,2.6,0,,
53,2.65,0,,
54,2.7,1,1,
55,2.75,1,1,
56,2.8,1,1,
57,2.85,1,1,
58,2.9,1,1,
59,2.95,1,1,
60,3.0,1,1,
61,3.05,1,1,
62,3.1,1,1,
63,3.15,1,1,
64,3.2,1,1,
65,3.25,1,1,
66,3.3,1,1,
67,3.35,1,1,
68,3.4,1,1,
69,3.45,1,1,
70,3.5,1,1,
71,3.55,1,1,
72,3.6,1,1,
73,3.65,1,1,
74,3.7,1,1,
75,3.75,1,1,
76,3.8,1,1,
77,3.85,1,1,
78,3.9,1,1,
79,3.95,1,1,
80,4.0,1,1,
81,4.05,1,1,
82,4.1,2,1,1
83,4.15,2,1,1
84,4.2,2,1,1
85,4.25,2,1,1
86,4.3,2,1,1
87,4.35,2,1,1
88,4.4,2,1,1
89,4.45,2,1,1
90,4.5,2,1,1
